time,call
44934.6875000000,40
44934.6979166667,37
44934.7083333333,0
44934.7187500000,0
44934.7291666667,0
44934.7395833333,0
44934.7500000000,0
44934.7604166667,0
44934.7708333333,0
44934.7812500000,0
44934.7916666667,0
44934.8020833333,0
44934.8125000000,0
44934.8229166667,0
44934.8333333333,0
44934.8437500000,0
44934.8541666667,0
44934.8645833333,0
44934.8750000000,0
44935.3541666667,60
44935.3645833333,43
44935.3750000000,54
44935.3854166667,69
44935.3958333333,83
44935.4062500000,86
44935.4166666667,112
44935.4270833333,106
44935.4375000000,113
44935.4479166667,125
44935.4583333333,112
44935.4687500000,116
44935.4791666667,129
44935.4895833333,93
44935.5000000000,138
44935.5104166667,115
44935.5208333333,120
44935.5312500000,122
44935.5416666667,116
44935.5520833333,126
44935.5625000000,139
44935.5729166667,264
44935.5833333333,191
44935.5937500000,182
44935.6041666667,154
44935.6145833333,123
44935.6250000000,107
44935.6354166667,125
44935.6458333333,122
44935.6562500000,94
44935.6666666667,91
44935.6770833333,118
44935.6875000000,106
44935.6979166667,96
44935.7083333333,94
44935.7187500000,87
44935.7291666667,77
44935.7395833333,85
44935.7500000000,86
44935.7604166667,72
44935.7708333333,72
44935.7812500000,71
44935.7916666667,66
44935.8020833333,49
44935.8125000000,55
44935.8229166667,49
44935.8333333333,31
44935.8437500000,34
44935.8541666667,23
44935.8645833333,23
44935.8750000000,0
44936.3541666667,46
44936.3645833333,25
44936.3750000000,51
44936.3854166667,53
44936.3958333333,65
44936.4062500000,83
44936.4166666667,92
44936.4270833333,107
44936.4375000000,100
44936.4479166667,116
44936.4583333333,101
44936.4687500000,99
44936.4791666667,113
44936.4895833333,172
44936.5000000000,131
44936.5104166667,124
44936.5208333333,148
44936.5312500000,152
44936.5416666667,129
44936.5520833333,123
44936.5625000000,126
44936.5729166667,114
44936.5833333333,152
44936.5937500000,121
44936.6041666667,109
44936.6145833333,114
44936.6250000000,122
44936.6354166667,132
44936.6458333333,118
44936.6562500000,122
44936.6666666667,106
44936.6770833333,111
44936.6875000000,122
44936.6979166667,91
44936.7083333333,91
44936.7187500000,99
44936.7291666667,82
44936.7395833333,97
44936.7500000000,85
44936.7604166667,71
44936.7708333333,66
44936.7812500000,60
44936.7916666667,39
44936.8020833333,55
44936.8125000000,56
44936.8229166667,56
44936.8333333333,41
44936.8437500000,37
