date,year,month,time,call,,,,date,
4,2023,1,14:00-14:15,123,,04/01/2023,14:00,44930,14:00:00
4,2023,1,14:15-14:30,124,,04/01/2023,14:15,44930,14:15:00
4,2023,1,14:30-14:45,117,,04/01/2023,14:30,44930,14:30:00
4,2023,1,14:45-15:00,126,,04/01/2023,14:45,44930,14:45:00
4,2023,1,15:00-15:15,139,,04/01/2023,15:00,44930,15:00:00
4,2023,1,15:15-15:30,118,,04/01/2023,15:15,44930,15:15:00
4,2023,1,15:30-15:45,137,,04/01/2023,15:30,44930,15:30:00
4,2023,1,15:45-16:00,154,,04/01/2023,15:45,44930,15:45:00
4,2023,1,16:00-16:15,101,,04/01/2023,16:00,44930,16:00:00
4,2023,1,16:15-16:30,110,,04/01/2023,16:15,44930,16:15:00
4,2023,1,16:30-16:45,100,,04/01/2023,16:30,44930,16:30:00
4,2023,1,16:45-17:00,95,,04/01/2023,16:45,44930,16:45:00
4,2023,1,17:00-17:15,80,,04/01/2023,17:00,44930,17:00:00
4,2023,1,17:15-17:30,92,,04/01/2023,17:15,44930,17:15:00
4,2023,1,17:30-17:45,66,,04/01/2023,17:30,44930,17:30:00
4,2023,1,17:45-18:00,65,,04/01/2023,17:45,44930,17:45:00
4,2023,1,18:00-18:15,70,,04/01/2023,18:00,44930,18:00:00
4,2023,1,18:15-18:30,68,,04/01/2023,18:15,44930,18:15:00
4,2023,1,18:30-18:45,61,,04/01/2023,18:30,44930,18:30:00
4,2023,1,18:45-19:00,69,,04/01/2023,18:45,44930,18:45:00
4,2023,1,19:00-19:15,47,,04/01/2023,19:00,44930,19:00:00
4,2023,1,19:15-19:30,57,,04/01/2023,19:15,44930,19:15:00
4,2023,1,19:30-19:45,38,,04/01/2023,19:30,44930,19:30:00
4,2023,1,19:45-20:00,49,,04/01/2023,19:45,44930,19:45:00
4,2023,1,20:00-20:15,37,,04/01/2023,20:00,44930,20:00:00
4,2023,1,20:15-20:30,35,,04/01/2023,20:15,44930,20:15:00
4,2023,1,20:30-20:45,26,,04/01/2023,20:30,44930,20:30:00
4,2023,1,20:45-21:00,23,,04/01/2023,20:45,44930,20:45:00
4,2023,1,21:00-20:15,0,,04/01/2023,21:00,44930,21:00:00
5,2023,1,08:30-08:45,33,,05/01/2023,08:30,44931,08:30:00
5,2023,1,08:45-09:00,25,,05/01/2023,08:45,44931,08:45:00
5,2023,1,09:00-09:15,47,,05/01/2023,09:00,44931,09:00:00
5,2023,1,09:15-09:30,49,,05/01/2023,09:15,44931,09:15:00
5,2023,1,09:30-09:45,60,,05/01/2023,09:30,44931,09:30:00
